grant_call,awarded_project,recipient,organisation
NRF Research Fellowships,Phase Coherent Charge and Spin Transport in  Nanostrutcured Graphene and Ferromagnet Hybrid Devices,Dr. ÖZYILMAZ Barbaros,National Research Foundation
NRF Research Fellowships,Strain Engineering for Next-Generation Semiconductor Manufacturing,Dr. YEO Yee Chia,National Research Foundation
NRF Research Fellowships,"Understanding molecular mechanisms of post-transcriptional control in neuronal differentiation: a link between microRNAs, alternative pre-mRNA splicing and mRNA quality control",Dr. MAKEYEV Eugene,Temasek Life Sciences Laboratory
NRF Research Fellowships,Asymmetric Catalytic [4+1] Cycloadditions between Dienes and Carbene Precursors,Dr. ZHOU Jianrong,National Research Foundation
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact","Surface construction, compression and encoding for IDM applications",Prof. TAI Xue-cheng,Nanyang Technological University
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",M-EDGE: Music-Emotion Driven Game Engine,Dr. DILLON Roberto,Nanyang Polytechnic
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact","Computer Assisted Cel Animation, CACAni 2.0",Dr. SEAH Hock Soon,Nanyang Technological University
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",New Music and the Networked Ensemble,Prof. WYSE Lonce,National University of Singapore
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Social Robots: Breathing Life into Machines,Prof. GE Shuzhi Sam,National University of Singapore
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Interactive Media Search,Prof. CHUA Tat-seng,National University of Singapore
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Automated Storyplanning for Games,Dr. NAREYEK Alexander,National University of Singapore
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Towards Highly Interactive Distributed Media Environment,Dr. ZHOU Suiping,Nanyang Technological University
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Events in the World: Developing & Using Interactive Digital Media for Multimodal Discourse Analysis (MDA),Prof. O'HALLORAN Kay,National University of Singapore
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact","Systematic Design Methods and Tools for Developing Location-aware, Mobile and Pervasive Computing Systems",Dr. DONG Jin Song,National University of Singapore
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Life Spaces,"Prof. WONG Lawrence, Wai Choong",National University of Singapore
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Business Models for Interactive Digital Media Services and Policy Implications for Regulators,Prof. SHARMA Ravishankar,Nanyang Technological University
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Smart Proximity Based Service Agents on Mobile Handsets,Dr. QUAH Jon,Nanyang Technological University
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",Next Generation of Directional Sound Beam with Bass Enhancement and Beamsteering to Support New Interactive Digital Media Applications,Prof. GAN Woon Seng,Nanyang Technological University
1st FutureSchools@Singapore Call for Proposals,na,na,na
Research & Development on Interactive Digital Media in Education,Effectiveness of 3D Simulation-Based Learning for Polytechnic Level Engineering Students,Mr. TAN Kim Cheng,Temasek Polytechnic
Research & Development on Interactive Digital Media in Education,The Creation of Innovative Educational Environments exploiting Contextualized Interactive Augmented Reality Technologies,Mr. ONG Alex,Republic Polytechnic
Research & Development on Interactive Digital Media in Education,Serious Immersion and Embodied Learning: Traces of Dinosaurs in Earth System Science,Prof. KIM Beaumie,National Institute of Education
Research & Development on Interactive Digital Media in Education,Flexible Collaboration for Interactive WhiteBoard (IWB) Classrooms,Prof. LOOI Chee-kit,National Institute of Education
