Column 1,Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10
244,244,2010,England,Hospital,980,136,0.139,0.799,0.746,0.053,0.644,0.303,0.061,0.371,0.492,0.076,0,0.28,0.01,0,0.03,0.0624,0.0599,0.0329,0.252,0.276,0.112,0.172,0.209,0.09,0.333,0.092,0.109,0.103,0.199,0.912,0.594,0.516,0.381,0.607,0.278,0.75,0.371,0.429,0.645,0.919,0.647,0.096,-0.482318476,0.3655119083,-1.259549474,-2.948068688,0.4788817844,0.8134731778,1.5037311498,0.449151629,-0.48486147,-0.967790007
245,245,2010,England,Site,1387,140,0.101,0.968,0.752,0.107,0.58,0.313,0.068,0.341,0.341,0.25,0,0.31,0.03,0.01,0.01,0.0576,0.0544,0.0359,0.205,0.382,0.301,0.22,0.333,0.069,0.667,0.15,0.366,0.1,0.25,0.889,0.756,0.705,0.34,0.718,0.452,0.788,0.227,0.28,0.685,0.857,0.607,0.022,-1.424980666,0.1906374921,-3.073117831,-1.571494895,2.5325540832,0.6167719066,0.5195675138,1.8434962035,-0.599286434,-0.512928791
246,246,2010,England,Site,782,71,0.091,0.933,0.873,0.129,0.714,0.157,0.101,0.232,0.464,0.203,0,0.17,0.0124,0.11,0.1,0.0563,0.0431,0.028,0.194,0.516,0.375,0.266,0.375,0.086,0.4,0,0.079,0.155,0.282,0.8,0.714,0.733,0.455,0.769,0.333,0.733,0.2,0.333,0.667,0.867,0.692,0.015,-2.827425917,-0.638483794,-4.722329908,-0.790303522,1.354859672,-0.981882924,1.050409497,-0.024060337,-0.277954087,-0.742145752
247,247,2010,England,Site,987,111,0.112,0.991,0.898,0.046,0.633,0.321,0.1,0.255,0.345,0.3,0,0.4,0.19,0.03,0.07,0.0577,0.0577,0.035,0.143,0.26,0.15,0.17,0.16,0.037,0.75,0,0.397,0.081,0.207,0.926,0.792,0.76,0.737,0.75,0.519,0.778,0.296,0.222,0.76,1,0.704,0.029,1.1198208997,1.3550143663,-2.346166162,-0.999639008,1.1244095846,0.108429062,1.8397080549,0.9531414516,-0.760233818,0.4640121072
248,248,2010,England,Hospital,850,164,0.193,0.942,0.86,0.116,0.567,0.317,0.061,0.252,0.521,0.166,0,0.38,0.1,0.02,0.04,0.0573,0.0497,0.0368,0.144,0.409,0.302,0.188,0.255,0.09,0.917,0.133,0.195,0.055,0.122,0.818,0.84,0.653,0.343,0.732,0.204,0.691,0.302,0.208,0.691,0.857,0.554,0.03,-1.055249374,-1.207219758,-3.90649136,-2.09256806,1.8629024776,0.0320793595,0.4525272529,0.9414430351,0.0971037247,0.1227541499
249,249,2010,England,Hospital,216,28,0.13,0.826,0.667,0.071,0.429,0.5,0.16,0.36,0.36,0.12,0,0.0188,0.29,0.3,0.79,0.06,0.0575,0.0216,0.4,0.615,0.385,0.5,0.5,0.136,0.333,0.192,0.375,0.179,0.179,0.9,0.75,0.444,0.833,0.333,0.4,1,0.571,0.286,1,0.9,0.6,0.185,-4.437546728,0.2368483094,-0.855306433,2.2393735453,2.0033883349,-2.081946768,2.2105789819,-1.488389456,2.0685114586,-0.668280632
250,250,2010,England,Hospital,80,12,0.15,1,1,0.182,0.818,0,0.25,0,0.583,0.167,0,0.0633,0.0267,0.0167,0.08,0.0692,0.0692,0.035,0,0.333,0.083,0.25,0.083,0,0.333,0.182,0.583,0.083,0.25,1,1,1,1,0.5,0.667,1,0.333,0,0.333,1,1,0,2.1565377699,3.0270889812,0.1014519586,1.7814113721,-1.449873318,-0.887087226,-1.166684563,0.579674495,-1.252292024,-0.290676366
251,251,2010,England,Hospital,547,76,0.139,0.904,0.905,0.068,0.644,0.288,0.066,0.276,0.579,0.079,0,0.0152,0.53,0.04,0.03,0.0674,0.0655,0.0452,0.257,0.289,0.158,0.184,0.158,0.095,0.8,0.217,0.263,0.184,0.276,0.76,0.6,0.583,0.6,0.625,0.36,0.76,0.125,0.208,0.542,0.833,0.6,0.043,0.1098622128,-1.41869787,0.6993521871,-1.446931134,-0.340760778,0.5781407411,0.3931916669,0.6271765485,0.0271934638,0.4499884875
252,252,2010,England,Hospital,383,52,0.136,0.898,0.92,0.058,0.712,0.231,0.059,0.392,0.431,0.118,0,0.94,0.1,0.04,0.11,0.0576,0.0491,0.0345,0.318,0.208,0.167,0.083,0.146,0.077,0.667,0.24,0.308,0.038,0.212,0.743,0.758,0.559,0.471,0.645,0.229,0.714,0.306,0.25,0.677,0.806,0.571,0.058,0.737115896,-1.096429181,-2.345305321,-3.444311755,1.6575330888,-0.896117194,0.3972297066,-0.810568751,-0.218256204,0.4041261246
253,253,2010,England,Hospital,75,16,0.213,1,0.091,0.071,0.571,0.357,0,0.25,0.313,0.438,0,0.63,0.56,0.01,0.81,0.014,0.0525,0.0538,0.385,0.188,0.063,0.125,0.125,0.125,1,0.563,0,0,0.063,1,0.5,0.455,0.2,0.375,0.273,0.75,0.167,0.083,0.583,0.917,0.417,0,1.640984996,-2.99835287,-4.051677364,-5.066703757,3.0931354058,-7.490411971,2.6230524002,-0.785721572,-2.099539027,-0.087680108
