Column 1,Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10
0,0,2011,England,Hospital,422,60,0.142,0.931,0.831,0.083,0.65,0.267,0.083,0.217,0.333,0.333,0.033,0.011,0.17,0.07,0.05,0.069,0.067,0.0478,0.417,0.236,0.109,0.145,0.145,0.069,0.5,0.155,0.319,0.05,0.233,0.815,0.708,0.565,0.625,0.857,0.393,0.704,0.185,0.148,0.739,0.793,0.692,0.017,1.4031486169,-0.784072891,0.6960612579,-0.93837738,-0.645146922,1.0247327081,-0.262692327,-0.031605265,0.7653915034,-0.482458081
1,1,2011,England,Hospital,242,43,0.178,1,0.952,0.047,0.628,0.326,0.093,0.302,0.419,0.186,0,0.51,0.09,0.49,0.02,0.0682,0.0664,0.0388,0.22,0.333,0.154,0.205,0.231,0,0.667,0.333,0.391,0.116,0.209,0.875,0.813,0.647,0.545,0.9,0.444,0.842,0.188,0.5,0.688,0.824,0.625,0,0.5758061302,-0.357486817,-0.165356369,-0.10923775,0.0412656126,0.8078503285,-1.283394128,-0.153889769,0.6604493712,0.8930644614
2,2,2011,England,Hospital,350,40,0.114,1,0.95,0.079,0.737,0.184,0.075,0.325,0.425,0.175,0,0.0103,0.48,0.05,0.13,0.0661,0.0659,0.0383,0.275,0.359,0.179,0.231,0.128,0.086,0.333,0.135,0.455,0.05,0.25,0.958,0.864,0.789,0.667,0.842,0.72,0.92,0.391,0.261,0.6,0.88,0.762,0.025,1.0172790288,1.15142426,-0.220747126,0.9933606525,-0.725128818,-0.530789309,-0.491805429,0.5639992354,-0.753952705,-0.075176424
3,3,2011,England,Hospital,524,98,0.187,0.704,0.792,0.094,0.458,0.448,0.072,0.33,0.433,0.155,0.01,0.2,0.03,0.05,0.09,0.0682,0.059,0.0359,0.232,0.325,0.229,0.181,0.181,0.122,0.286,0.118,0.333,0.041,0.235,0.92,0.729,0.638,0.419,0.735,0.46,0.9,0.271,0.229,0.667,0.857,0.714,0.062,-0.005017749,0.4911361782,-1.036198331,-1.050756299,-0.024020242,0.5888318291,-0.290583504,0.1653146992,-0.115802924,-0.826446573
4,4,2011,England,Hospital,616,82,0.133,0.988,0.875,0.099,0.63,0.272,0.1,0.363,0.35,0.188,0,0.84,0.06,0.01,0.04,0.0694,0.0676,0.0406,0.299,0.347,0.16,0.253,0.147,0.078,0.667,0.169,0.172,0.085,0.244,0.867,0.8,0.821,0.556,0.944,0.483,0.833,0.194,0.129,0.679,0.938,0.767,0,0.9835536105,1.1477061326,-1.023263996,-0.314013801,0.0567882986,1.895567684,-0.662519846,-0.303158265,0.2911245802,0.3847828809
5,5,2011,England,Hospital,337,72,0.214,0.776,0.873,0.139,0.653,0.208,0.069,0.403,0.375,0.153,0,0.42,0.22,0.06,0.19,0.0676,0.0559,0.0363,0.441,0.525,0.407,0.203,0.271,0.138,1,0.294,0.138,0.125,0.389,0.81,0.684,0.737,0.611,0.8,0.542,0.875,0.4,0.15,0.857,0.909,0.571,0,-1.050700298,-0.272498064,-1.628482779,0.5113857404,1.4116812152,0.2647689194,-0.174705896,-1.191905152,1.6283315028,0.3552273885
6,6,2011,England,Hospital,343,36,0.105,0.882,0.8,0.222,0.528,0.25,0.147,0.353,0.265,0.235,0,0.36,0.22,0,0.11,0.0606,0.0597,0.0321,0.37,0.273,0.152,0.182,0.152,0.115,0.667,0.259,0.35,0.139,0.194,0.778,0.882,0.667,0.571,0.857,0.476,0.81,0.529,0.235,0.778,0.778,0.778,0,1.202422556,-0.08626788,-1.515084835,-0.815440751,0.9593740818,-0.732862615,-0.140643018,-0.351673257,0.4845168789,0.6245587402
7,7,2011,England,Hospital,462,70,0.152,0.986,0.87,0.114,0.629,0.257,0.043,0.314,0.471,0.157,0.014,0.41,0.21,0.11,0.07,0.0687,0.0643,0.0394,0.297,0.254,0.194,0.104,0.075,0.111,0.857,0.435,0.269,0.114,0.214,0.84,0.875,0.75,0.529,1,0.593,0.889,0.154,0.269,0.818,0.962,0.64,0.015,2.4700565426,0.1533752649,-0.848342831,-0.303150228,0.6390953244,1.4421057868,-0.328083436,-0.24410217,0.4816914773,0.5185212701
8,8,2011,England,Hospital,303,37,0.122,1,0.973,0.081,0.703,0.216,0,0.486,0.343,0.143,0.029,0.49,0.16,0.25,0.02,0.0694,0.066,0.0353,0.4,0.273,0.182,0.121,0.152,0.114,1,0.297,0.196,0.135,0.324,0.889,0.722,0.667,0.667,0.778,0.333,0.7,0.158,0.421,0.765,0.9,0.684,0.054,1.3717563043,0.1775678601,-0.012962428,-0.62572421,0.4032468155,0.890198543,0.1852348053,-0.548306059,1.3427969002,0.6271844376
9,9,2011,England,Hospital,371,74,0.199,0.861,0.905,0.068,0.77,0.162,0.054,0.378,0.405,0.162,0,0.78,0.3,0.18,0.03,0.0689,0.0636,0.0348,0.378,0.338,0.162,0.25,0.162,0.077,0.6,0.279,0.115,0.135,0.257,0.92,0.786,0.738,0.543,0.857,0.417,0.837,0.36,0.36,0.63,0.863,0.58,0,0.3697859653,0.3265605288,-0.728803917,-0.726194865,-0.161433844,0.4509904967,-0.974410032,-0.45091675,0.2283311263,0.7983536077
10,10,2011,England,Site,677,95,0.14,0.989,0.853,0.084,0.579,0.337,0.053,0.309,0.362,0.266,0.011,0.53,0.05,0.12,0.05,0.0647,0.0608,0.0432,0.154,0.351,0.284,0.216,0.23,0.08,0.667,0.095,0.063,0.126,0.242,0.873,0.758,0.75,0.462,0.826,0.485,0.768,0.284,0.254,0.548,0.722,0.559,0.011,-0.846291683,-0.200219805,-1.782871385,-1.391278292,-0.318595987,0.6051034128,-1.226746204,1.5598295707,0.2194457493,0.0542220168
11,11,2011,England,Hospital,403,58,0.144,1,0.947,0.158,0.772,0.07,0.088,0.386,0.439,0.088,0,0.43,0.34,0.6,0.17,0.0673,0.0635,0.0487,0.268,0.292,0.146,0.167,0.104,0.17,0.25,0.167,0.236,0.155,0.293,0.944,0.844,0.853,0.579,0.917,0.595,0.811,0.229,0.2,0.742,0.914,0.778,0,2.260504563,0.0847899612,-1.058715978,0.9632657371,-1.317111827,0.7200544101,-0.228614528,-0.023542574,-0.306022065,0.0083336217
12,12,2011,England,Hospital,234,37,0.158,1,0.973,0.054,0.703,0.243,0.054,0.162,0.486,0.27,0.027,0.0108,0.05,0.27,0.03,0.0672,0.062,0.0445,0.118,0.235,0.206,0.176,0.206,0.094,0.333,0.273,0.351,0.027,0.108,0.786,0.923,0.654,0.556,0.941,0.481,0.893,0.143,0.214,0.783,0.778,0.519,0,0.8064346834,-1.134334543,-1.046318737,-0.468605013,-0.678153837,0.9207756417,-1.431614114,0.2387035888,0.555277518,-0.078101767
13,13,2011,England,Hospital,292,63,0.216,0.887,0.839,0.095,0.667,0.238,0.049,0.377,0.41,0.164,0,0.59,0.19,0.22,0.17,0.0679,0.0649,0.038,0.32,0.279,0.098,0.246,0.131,0.151,1,0.231,0.255,0.079,0.19,0.952,0.881,0.929,0.818,0.95,0.524,0.909,0.289,0.2,0.5,0.889,0.721,0,1.9063947809,0.8297697173,-0.462123123,0.6042709928,-0.29546504,-0.377401447,-0.771615183,0.6595111179,0.4661745382,0.755880626
14,14,2011,England,Hospital,248,52,0.21,0.404,0.769,0.059,0.686,0.255,0.078,0.451,0.373,0.078,0.02,0.77,0.31,0.15,0.09,0.0682,0.0666,0.0447,0.412,0.367,0.245,0.163,0.122,0.104,0.8,0.146,0.189,0.173,0.173,0.739,0.524,0.35,0.316,0.714,0.52,0.76,0.174,0.304,0.429,0.583,0.542,0.019,-1.065525479,-1.506156342,1.4942113234,-2.938636558,-0.639044119,0.0008567903,-1.654276837,0.1893262476,0.5916516489,0.864347049
15,15,2011,England,Hospital,489,86,0.176,0.753,0.907,0.081,0.709,0.209,0.012,0.306,0.541,0.141,0,0.69,0.23,0.15,0.03,0.0686,0.0583,0.0384,0.381,0.341,0.207,0.232,0.134,0.096,0.429,0.048,0.167,0.163,0.291,0.875,0.864,0.625,0.5,0.722,0.32,0.87,0.308,0.154,0.538,0.808,0.72,0,0.0906662758,-0.044254739,-1.266999556,-1.133176323,-0.532046135,0.1808001418,-0.707033771,-0.111830243,-0.126344513,0.0688475883
16,16,2011,England,Hospital,591,92,0.156,0.988,0.868,0.11,0.637,0.253,0.055,0.253,0.451,0.242,0,0.71,0.07,0.2,0.07,0.0672,0.0614,0.0437,0.253,0.253,0.229,0.06,0.133,0.113,0.778,0.175,0.224,0.054,0.12,0.72,0.6,0.52,0.421,0.818,0.5,0.731,0.28,0.2,0.75,0.8,0.538,0,0.5990000941,-0.994345372,-0.408291851,-2.601893058,0.2238343238,1.5566545281,-0.230548494,-0.252022185,0.6619650681,0.6872821419
17,17,2011,England,Hospital,197,26,0.132,1,0.96,0.16,0.68,0.16,0.077,0.5,0.269,0.154,0,0.69,0.19,0.23,0,0.0671,0.0587,0.0351,0.385,0.304,0.217,0.174,0.304,0.208,0.75,0.462,0.788,0.231,0.423,1,1,1,1,1,1,1,0,0,1,1,1,0,2.8819050556,3.3928508929,-1.26381846,3.7540572436,2.3306920959,0.0713510256,-0.493307378,-1.082668472,0.1131976578,1.1774955822
18,18,2011,England,Hospital,219,32,0.146,0.968,0.844,0.125,0.625,0.25,0.125,0.438,0.188,0.25,0,0.0152,0.31,0.03,0.09,0.07,0.0692,0.0413,0.281,0.406,0.344,0.219,0.375,0.031,1,0.156,0.278,0.156,0.25,0.833,0.783,0.818,0.563,0.875,0.56,0.76,0.167,0.25,0.522,0.84,0.667,0,-0.860212906,-0.098858686,-0.290547872,1.2063558227,-0.178360166,0.4820249441,-1.543299344,0.3704865949,1.3224474994,0.1017654139
19,19,2011,England,Hospital,275,46,0.167,0.935,0.889,0.174,0.587,0.239,0.13,0.261,0.391,0.217,0,0.7,0.26,0.94,0.03,0.0669,0.0614,0.0339,0.333,0.314,0.2,0.2,0.2,0.146,0.667,0.205,0.886,0.087,0.304,1,0.913,0.739,0.667,0.933,0.609,1,0.192,0.192,0.739,0.846,0.696,0,1.4627247543,0.5491098925,-0.215981253,1.465430674,0.9288442102,-0.347610057,-0.986139076,0.0372959771,0.0830577001,1.4453721607
20,20,2011,England,Hospital,421,86,0.204,0.976,0.918,0.093,0.686,0.221,0.105,0.267,0.477,0.14,0.012,0.72,0.07,0.19,0.26,0.0677,0.0675,0.0435,0.523,0.225,0.188,0.075,0.088,0.095,0.571,0.467,0.258,0.186,0.36,1,0.875,0.833,0.867,0.929,0.545,0.957,0.167,0.208,0.826,0.875,0.783,0.024,3.2053629385,1.2392823969,-0.016722779,0.8373304337,0.4805939808,0.5996660456,-0.560716992,-0.244669909,0.3698418457,-0.404788413
21,21,2011,England,Hospital,543,71,0.131,0.986,0.887,0.086,0.7,0.214,0.072,0.275,0.464,0.188,0,0.96,0.45,0.1,0.06,0.0678,0.0643,0.0366,0.314,0.465,0.394,0.141,0.225,0.101,0.714,0.353,0.188,0.197,0.296,0.776,0.721,0.659,0.464,0.857,0.521,0.796,0.347,0.265,0.643,0.76,0.694,0.029,-0.959838051,-0.190130842,-0.836584043,-0.331931431,0.9129205353,1.1811227909,-1.051678808,-0.184275799,-0.143084529,1.1303107468
22,22,2011,England,Hospital,406,69,0.17,0.985,0.912,0.043,0.754,0.203,0.059,0.309,0.309,0.309,0.015,0.45,0.07,0.04,0.03,0.067,0.0566,0.0369,0.379,0.365,0.333,0.175,0.222,0.091,0,0.14,0.446,0.087,0.29,1,0.824,0.857,0.75,0.6,0.471,0.833,0.118,0.176,0.588,0.778,0.778,0,-0.080494423,1.42725434,-1.339756326,0.399105626,0.0684529986,-0.708236459,-1.541120426,-0.021936751,-0.885528294,-1.120767537
23,23,2011,England,Hospital,398,71,0.178,0.723,0.944,0.086,0.757,0.157,0,0.246,0.623,0.13,0,0.03,0.24,0.01,0.08,0.0672,0.0669,0.0437,0.242,0.277,0.092,0.2,0.077,0.088,0.25,0.9,0.899,0.085,0.268,0.909,0.8,0.667,0.611,0.9,0.342,0.868,0.361,0.278,0.559,0.917,0.694,0,2.3845240698,-1.070567882,1.317484748,0.0824896644,1.6861136063,0.5104699592,-1.752917426,-0.045968851,-2.127353665,-0.361949338
24,24,2011,England,Hospital,351,44,0.125,0.93,0.907,0.07,0.767,0.163,0.093,0.302,0.349,0.233,0.023,0.0136,0.18,0,0.27,0.0698,0.0589,0.0414,0.262,0.342,0.237,0.158,0.211,0.132,0.8,0.263,0.278,0.227,0.25,0.615,0.5,0.333,0.25,0.375,0.182,0.583,0.154,0.231,0.818,0.923,0.385,0.023,-1.136168966,-2.845145501,0.1885250566,-3.09348489,0.7211482023,1.1732571468,0.5125999447,-1.747611921,1.9002126339,-0.028946507
25,25,2011,England,Hospital,562,81,0.144,0.962,0.873,0.101,0.709,0.19,0.05,0.438,0.375,0.138,0,0.12,0.15,0.02,0.03,0.0696,0.069,0.0385,0.382,0.361,0.264,0.181,0.222,0.08,0.167,0.071,0.73,0.111,0.321,0.952,0.895,0.778,0.333,0.714,0.5,0.95,0.4,0.5,0.5,0.81,0.714,0.05,0.1025463611,0.9457259389,0.0255133242,-0.037186616,0.2434456238,0.5503952619,-2.088131164,0.7837246846,-0.385743685,-1.541690553
26,26,2011,England,Site,543,91,0.168,0.989,0.889,0.067,0.652,0.281,0.07,0.267,0.349,0.291,0.023,0.31,0.04,0.13,0.04,0.0614,0.0594,0.039,0.284,0.089,0.089,0,0.051,0.108,0.286,0.359,0.187,0.099,0.242,0.877,0.896,0.788,0.611,0.914,0.386,0.864,0.121,0.207,0.653,0.845,0.719,0.035,3.2653987785,-0.126302368,-1.695661009,-1.726215983,-0.135198817,0.028301695,-0.010982904,0.5216029854,-0.909860592,-0.8508948
27,27,2011,England,Hospital,463,55,0.119,0.982,0.818,0.093,0.648,0.259,0.036,0.164,0.455,0.345,0,0.0136,0.65,0.8,0.33,0.0658,0.0654,0.0406,0.527,0.283,0.226,0.113,0.113,0.178,0.333,0.222,0.42,0.073,0.255,0.909,0.909,0.818,0.625,1,0.409,0.762,0.273,0.136,0.714,0.864,0.591,0,1.9826587703,-1.669019962,-0.296787222,1.4572105078,-0.670951263,-0.439466648,0.007408435,0.1916298297,0.1159579208,-0.376499408
28,28,2011,England,Hospital,284,47,0.165,0.979,0.911,0.064,0.723,0.213,0.043,0.298,0.34,0.319,0,0.0236,0.34,0.79,0.0157,0.0668,0.0638,0.0427,0.489,0.196,0.087,0.109,0.087,0.024,1,0.023,0.204,0.064,0.149,0.786,0.643,0.533,0.571,0.583,0.462,0.8,0.333,0.133,0.867,0.813,0.375,0,1.4851014558,-1.729920694,0.7247289532,-1.902811164,-1.002542654,-0.117904583,0.8097635052,-0.248586036,2.5450547406,0.9174277961
29,29,2011,England,Hospital,504,66,0.131,1,0.836,0.143,0.619,0.238,0.048,0.349,0.444,0.159,0,0.0111,0.36,0.11,0.16,0.0668,0.0588,0.0342,0.297,0.408,0.327,0.143,0.245,0.154,0.5,0.053,0.345,0.061,0.106,0.895,0.889,0.889,0.929,1,0.737,0.947,0.263,0.158,0.6,0.947,0.789,0.031,0.3634437009,1.2163025749,-1.440340534,2.1936354395,-0.233617369,-0.330641205,0.4511134067,0.457575943,-0.524039654,-0.51184164
30,30,2011,England,Site,1010,110,0.109,0.731,0.876,0.121,0.692,0.187,0.028,0.402,0.458,0.112,0,0.0178,0.44,0.11,0.04,0.066,0.0624,0.0428,0.262,0.322,0.161,0.207,0.218,0.06,1,0.149,0.175,0.082,0.1,0.619,0.619,0.571,0.556,0.778,0.364,0.95,0.136,0.182,0.857,0.864,0.545,0.01,-0.338742135,-1.964967594,-0.651933794,-1.504571536,0.7122802984,1.9371003171,1.5929122505,0.5190099101,1.21598228,1.0005227204
31,31,2011,England,Hospital,441,61,0.138,0.984,0.885,0.098,0.705,0.197,0.067,0.233,0.483,0.217,0,0.54,0.49,0.1,0.06,0.0604,0.0567,0.033,0.136,0.24,0.14,0.12,0.08,0.104,0.2,0.071,0.203,0.082,0.115,1,0.96,0.913,0.833,0.955,0.655,0.966,0.103,0.069,0.708,0.828,0.759,0,2.0980125123,1.6711219149,-2.630873192,0.1172441504,-1.041829264,-1.039638928,0.0965197558,0.8624013444,-1.59224477,0.9225585013
32,32,2011,England,Hospital,498,76,0.153,1,0.882,0.118,0.566,0.316,0.039,0.211,0.395,0.316,0.039,0.53,0.01,0.01,0.51,0.0643,0.0588,0.0412,0.237,0.263,0.132,0.158,0.132,0.122,0.778,0.12,0.194,0.053,0.224,0.898,0.849,0.7,0.259,0.735,0.407,0.881,0.169,0.22,0.68,0.763,0.649,0.013,1.2006073236,-0.48404955,-1.736965138,-1.91941334,0.1481421219,-0.345478434,-0.758704522,0.8915499869,1.2279066375,-0.182459707
33,33,2011,England,Hospital,233,39,0.167,0.611,0.974,0.179,0.538,0.282,0.053,0.316,0.5,0.132,0,0.88,0.51,0.21,0.04,0.0682,0.0674,0.0427,0.143,0.303,0.152,0.182,0.121,0.071,1,0.407,0.206,0.128,0.41,0.95,0.875,0.857,0.615,0.733,0.579,1,0.611,0.5,0.8,0.85,0.632,0.027,1.8784383616,0.8716418099,-0.72890736,0.0535072741,0.0151405529,0.881297677,-1.08396276,0.4266043362,0.5796553021,2.2401545741
34,34,2011,England,Hospital,543,73,0.134,0.671,0.806,0.11,0.603,0.288,0.014,0.25,0.583,0.153,0,0.16,0.16,0.02,0.16,0.0668,0.0664,0.0438,0.257,0.348,0.188,0.203,0.145,0.085,0.8,0.66,0.678,0.082,0.205,0.714,0.667,0.5,0.348,0.778,0.318,0.711,0.205,0.205,0.743,0.761,0.511,0.014,0.3032080075,-2.356604445,0.932440492,-1.693003253,2.108568881,1.2295954553,-1.408814815,0.1913068541,0.4445694847,0.4318346052
35,35,2011,England,Hospital,460,74,0.161,0.986,0.877,0.041,0.548,0.411,0.125,0.319,0.431,0.125,0,0.61,0.27,0.11,0.2,0.0674,0.064,0.0432,0.386,0.31,0.197,0.183,0.197,0.155,0.667,0.345,0.237,0.041,0.135,0.913,0.886,0.786,0.654,0.806,0.396,0.854,0.2,0.222,0.756,0.854,0.771,0.014,1.4134036254,0.2371652588,-0.9393436,0.4939763763,0.5270523206,0.6374363047,-0.586793432,-0.079468394,0.5154095398,0.2182561604
36,36,2011,England,Hospital,375,62,0.165,0.983,0.903,0.081,0.565,0.355,0.033,0.25,0.517,0.2,0,0.32,0.23,0.24,0.35,0.0669,0.065,0.0492,0.246,0.228,0.175,0.07,0.053,0.071,0.25,0.071,0.069,0.081,0.097,0.944,0.722,0.765,0.6,0.833,0.389,1,0.263,0.158,0.857,1,0.667,0.016,2.4750378763,-0.111773496,-1.0696537,-0.432453974,-1.663909951,1.1587636069,0.645594197,-0.777142489,0.185492258,-0.710510583
37,37,2011,England,Hospital,473,77,0.163,0.987,0.855,0.132,0.605,0.263,0.078,0.325,0.429,0.169,0,0.27,0.3,0.1,0.08,0.0688,0.0652,0.0456,0.227,0.368,0.191,0.265,0.191,0.119,0.8,0.672,0.5,0.091,0.195,0.867,0.711,0.689,0.529,0.828,0.553,0.88,0.342,0.447,0.737,0.96,0.75,0,1.0729311457,-0.333535671,0.2266637491,0.6917774719,1.5548821153,1.3239527091,-0.696270199,-0.30387529,-0.259169924,0.7339407733
38,38,2011,England,Hospital,397,72,0.181,1,0.887,0.113,0.746,0.141,0.029,0.456,0.265,0.25,0,0.72,0.15,0.03,0.03,0.068,0.0619,0.0313,0.371,0.271,0.017,0.254,0.186,0.119,0.429,0.119,0.306,0.056,0.139,0.794,0.788,0.853,0.517,0.893,0.425,0.927,0.333,0.128,0.722,0.875,0.725,0.014,1.0728564667,0.6984168363,-1.203629566,-1.031356425,0.1444492247,0.6822229817,-0.47463884,-0.992482117,0.5530213848,0.5158387927
39,39,2011,England,Hospital,815,113,0.139,0.982,0.736,0.093,0.574,0.333,0.155,0.364,0.273,0.136,0.073,0.27,0.23,0.12,0.04,0.0674,0.0609,0.0355,0.215,0.371,0.247,0.225,0.337,0.184,0.357,0.233,0.368,0.08,0.177,1,1,0.667,1,1,0.667,1,0.25,0.25,1,1,1,0.068,0.716217581,2.5688655549,-1.710313219,2.9838222762,0.9892554928,1.6556849944,1.5336664484,0.177472165,-0.463148835,0.2240890338
40,40,2011,England,Hospital,547,75,0.137,0.986,0.726,0.093,0.68,0.227,0.125,0.306,0.375,0.181,0.014,0.85,0.16,0.1,0.06,0.0662,0.0635,0.0364,0.253,0.507,0.435,0.159,0.217,0.09,0.5,0.119,0.305,0.107,0.227,0.952,0.872,0.833,0.818,0.962,0.683,0.902,0.286,0.31,0.711,0.927,0.769,0.081,-0.356177498,2.2365517201,-1.730564968,1.5241011761,0.59925584,1.1194900581,-0.329037743,0.0496489533,-0.63420978,-0.053802859
41,41,2011,England,Hospital,951,121,0.127,0.931,0.712,0.042,0.65,0.308,0.059,0.269,0.454,0.176,0.042,0.32,0.04,0.22,0.05,0.0661,0.0635,0.0389,0.175,0.423,0.279,0.26,0.26,0.073,0.875,0.083,0.227,0.025,0.215,0.815,0.623,0.689,0.431,0.706,0.431,0.877,0.185,0.231,0.579,0.797,0.603,0,-1.590263922,-0.446345347,-0.993803167,-1.236505004,0.5429553842,1.1685520312,-0.304007229,1.3963222002,0.6706642266,0.2640022296
42,42,2011,England,Site,1472,253,0.172,0.924,0.774,0.075,0.611,0.313,0.06,0.321,0.357,0.242,0.02,0.0104,0.43,0.08,0.54,0.0649,0.0624,0.0414,0.374,0.329,0.196,0.205,0.183,0.088,0.824,0.109,0.243,0.083,0.186,0.86,0.802,0.691,0.629,0.839,0.486,0.856,0.246,0.261,0.677,0.849,0.707,0.049,0.3376586699,-0.626935346,-0.718148345,0.1015518005,0.9430035183,0.6779639812,1.8804364771,2.6006534698,0.272308751,-0.606344027
43,43,2011,England,Hospital,710,112,0.158,0.972,0.813,0.098,0.67,0.232,0.125,0.384,0.348,0.134,0.009,0.55,0.32,0,0.07,0.0647,0.0608,0.0336,0.394,0.35,0.17,0.24,0.2,0.104,1,0.216,0.267,0.063,0.196,0.795,0.667,0.548,0.462,0.864,0.356,0.891,0.227,0.432,0.738,0.978,0.689,0.1,-0.050981532,-0.202904249,-0.891249392,-1.323686072,1.7611968731,1.0878882306,1.5345422697,-0.529224496,0.4601162119,0.5857379555
44,44,2011,England,Hospital,258,42,0.163,1,0.902,0.15,0.625,0.225,0.111,0.5,0.306,0.083,0,0.85,0.05,0.17,0.06,0.065,0.0619,0.0406,0.325,0.333,0.233,0.167,0.233,0.111,1,0.393,0.879,0.143,0.286,0.722,0.842,0.667,0.615,0.824,0.429,0.857,0.45,0.5,0.647,0.85,0.727,0,0.9681518821,-0.514339736,-0.204973918,-0.240783546,2.5365816684,0.4208356773,-1.409319038,-0.876971221,0.2945945309,0.9929673018
45,45,2011,England,Hospital,505,66,0.131,0.922,0.785,0.076,0.803,0.121,0.111,0.349,0.46,0.079,0,0.0142,0.12,0.02,0.35,0.0678,0.0573,0.0412,0.646,0.3,0.1,0.217,0.15,0.052,0.333,0.034,0.136,0.106,0.303,0.9,0.784,0.816,0.533,0.9,0.512,0.875,0.368,0.342,0.778,0.925,0.675,0.047,1.4219368918,0.104321484,-1.131537318,-0.148143197,-0.294427384,-0.208888909,0.5528290887,-0.566270781,1.2029784532,-1.942727186
46,46,2011,England,Hospital,438,99,0.226,0.74,0.781,0.121,0.606,0.273,0.053,0.453,0.347,0.137,0.011,0.7,0.1,0.1,0.18,0.0651,0.0632,0.0405,0.229,0.272,0.136,0.21,0.148,0.105,0.5,0.131,0.286,0.051,0.182,0.719,0.685,0.569,0.595,0.782,0.484,0.853,0.234,0.219,0.552,0.879,0.825,0.011,0.5858636769,-0.120397543,-0.298342549,-1.292834143,-0.212341519,0.5550001906,0.2714436124,-0.778917677,-0.364250673,0.3608221806
47,47,2011,England,Hospital,352,65,0.185,0.719,0.859,0.092,0.769,0.138,0.032,0.587,0.222,0.095,0.063,0.0112,0.37,0.29,0.25,0.0682,0.0602,0.0347,0.292,0.3,0.117,0.217,0.117,0.07,0.25,0.07,0.24,0.062,0.138,0.9,1,0.556,0.667,0.857,0.556,0.889,0.375,0,0.556,0.9,0.5,0.015,0.686578809,-0.230802341,-0.433401432,-0.199589131,-1.589213614,-0.735255039,0.0101492305,0.3201739176,-0.213292794,-0.305770071
48,48,2011,England,Site,294,31,0.105,0.567,0.833,0.067,0.733,0.2,0.161,0.258,0.516,0.065,0,0.65,0.32,0,0.14,0.0674,0.0644,0.0428,0.067,0.276,0.241,0.034,0.207,0.154,1,0.115,0.32,0.065,0.161,0.913,0.81,0.667,0.615,0.923,0.409,0.826,0.182,0.409,0.5,0.957,0.826,0.032,1.4815166555,0.4060155048,-0.945034622,-0.227602501,-0.248621347,0.8636727438,-0.120503448,0.2275776854,-0.507730798,0.8825180003
49,49,2011,England,Hospital,185,29,0.157,1,0.862,0.138,0.621,0.241,0.143,0.393,0.25,0.214,0,0.0191,0.55,0.42,0.14,0.0688,0.0658,0.0422,0.31,0.345,0.207,0.172,0.241,0.071,0,0.077,0.119,0.069,0.207,0.95,0.722,0.75,0.786,0.9,0.714,0.905,0.167,0.167,0.706,1,0.842,0,0.8650280108,0.9014903002,-0.276373568,2.1702255889,-2.210661397,0.2158123107,0.6502278923,-1.176199854,-0.622479136,-0.293382103
50,50,2011,England,Site,771,124,0.161,0.943,0.851,0.105,0.685,0.21,0.099,0.372,0.347,0.182,0,0.36,0.06,0,0.15,0.0642,0.0601,0.0377,0.217,0.333,0.219,0.228,0.175,0.105,0.5,0.185,0.252,0.169,0.226,0.884,0.828,0.726,0.667,0.889,0.585,0.894,0.269,0.194,0.681,0.947,0.737,0.033,0.4905581399,0.9600101829,-1.606218735,-0.114313491,0.5107873127,0.6898829053,0.4898950021,0.4566590672,-0.507211286,-0.377550262
51,51,2011,England,Hospital,295,45,0.153,0.978,0.978,0.07,0.674,0.256,0.067,0.178,0.533,0.222,0,0.71,0.27,0.33,0.07,0.0678,0.0557,0.0387,0.267,0.333,0.205,0.179,0.179,0.073,0,0.049,0.03,0.133,0.244,0.96,0.957,0.909,0.833,0.95,0.654,0.962,0.407,0.259,0.708,0.926,0.8,0,1.2618469127,1.6355728988,-2.492416151,1.3392031879,-1.613486147,0.1146154489,-0.191477069,-0.651646702,-0.812296516,-0.038706351
