,Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy
644,644,2012,England,Hospital,139.0,15,0.10800000000000001,0.0,0.8,0.071,0.857,0.071,0.0,0.733,0.2,0.067,0.0,0.05,0.048,0.027000000000000003,0.021,0.07,0.07,0.039,0.33299999999999996,0.35700000000000004,0.214,0.35700000000000004,0.35700000000000004,0.067,1.0,0.4,0.4,0.0,0.2,0.6779999999999999,0.8109999999999999,0.8109999999999999,1.0,0.665,0.313,1.0,0.0,0.149,0.649,0.313,1.0,0.0
645,645,2012,England,Site,1076.0,136,0.126,0.89,0.8440000000000001,0.126,0.659,0.215,0.06,0.34600000000000003,0.42100000000000004,0.158,0.015,0.011000000000000001,0.5,0.3,0.1,0.067,0.064,0.035,0.33799999999999997,0.434,0.264,0.255,0.226,0.134,0.222,0.466,0.534,0.063,0.17600000000000002,0.861,0.779,0.7390000000000001,0.878,0.795,0.573,0.9109999999999999,0.213,0.21600000000000003,0.585,0.909,0.7979999999999999,0.07400000000000001
646,646,2012,England,Hospital,350.0,49,0.14,0.531,1.0,0.184,0.755,0.061,0.083,0.33299999999999996,0.5,0.083,0.0,0.013999999999999999,0.9,0.6,0.1,0.067,0.065,0.038,0.188,0.263,0.158,0.132,0.132,0.10400000000000001,0.75,0.11599999999999999,0.11599999999999999,0.14800000000000002,0.17,0.71,1.0,1.0,1.0,0.39899999999999997,0.0,0.71,0.0,0.601,0.42100000000000004,1.0,0.29,0.0
647,647,2012,England,Hospital,322.0,48,0.149,0.667,0.826,0.10400000000000001,0.708,0.188,0.021,0.34,0.5529999999999999,0.085,0.0,0.015,0.4,0.5,0.3,0.066,0.062,0.034,0.289,0.541,0.243,0.514,0.243,0.043,1.0,0.256,0.302,0.18899999999999997,0.311,0.792,0.604,0.6679999999999999,0.701,0.726,0.258,0.688,0.33,0.34600000000000003,0.645,0.8009999999999999,0.514,0.0
648,648,2012,England,Hospital,248.0,54,0.218,0.29600000000000004,0.722,0.13,0.667,0.204,0.02,0.314,0.51,0.13699999999999998,0.02,0.024,0.011000000000000001,0.5,0.4,0.068,0.062,0.031,0.37,0.535,0.326,0.302,0.233,0.07400000000000001,1.0,0.40700000000000003,0.46299999999999997,0.135,0.25,0.877,0.5479999999999999,0.41200000000000003,0.532,0.792,0.308,0.71,0.24600000000000002,0.307,0.474,0.7879999999999999,0.586,0.055999999999999994
649,649,2012,England,Hospital,336.0,56,0.16699999999999998,0.7859999999999999,0.706,0.13,0.741,0.13,0.127,0.455,0.16399999999999998,0.218,0.036000000000000004,1.0,0.4,0.9,0.013000000000000001,0.069,0.068,0.043,0.255,0.457,0.34299999999999997,0.314,0.371,0.127,0.0,0.17,0.18899999999999997,0.063,0.21600000000000003,0.848,0.731,0.748,0.767,0.7929999999999999,0.414,0.787,0.43,0.29600000000000004,0.581,0.895,0.628,0.218
650,650,2012,England,Hospital,195.0,25,0.128,0.92,0.84,0.08,0.8,0.12,0.04,0.56,0.28,0.12,0.0,0.018000000000000002,0.012,0.5,0.7,0.069,0.07,0.053,0.24,0.389,0.222,0.222,0.111,0.08,0.5,0.32,0.32,0.222,0.16699999999999998,0.8140000000000001,0.728,0.9009999999999999,0.853,1.0,0.381,1.0,0.255,0.094,0.55,0.7390000000000001,0.551,0.0
651,651,2012,England,Hospital,347.0,43,0.124,0.977,0.8290000000000001,0.023,0.674,0.302,0.18600000000000003,0.256,0.395,0.163,0.0,0.013999999999999999,0.6,0.2,1.0,0.068,0.062,0.04,0.14,0.47100000000000003,0.265,0.265,0.265,0.07,0.33299999999999996,0.18600000000000003,0.209,0.037000000000000005,0.10300000000000001,0.74,0.602,0.55,0.47700000000000004,0.759,0.414,0.768,0.294,0.0,0.545,0.715,0.591,0.0
652,652,2012,England,Hospital,298.0,39,0.131,0.9490000000000001,0.9229999999999999,0.026000000000000002,0.6409999999999999,0.33299999999999996,0.0,0.37799999999999995,0.35100000000000003,0.27,0.0,0.0,0.0,0.0,0.0,0.067,0.066,0.042,0.33299999999999996,0.037000000000000005,0.0,0.037000000000000005,0.0,0.154,0.2,0.282,0.33299999999999996,0.231,0.11800000000000001,0.919,0.555,0.789,0.7440000000000001,0.848,0.609,0.861,0.13,0.222,0.513,0.883,0.963,0.0
653,653,2012,England,Hospital,237.0,41,0.17300000000000001,0.951,0.7440000000000001,0.205,0.667,0.128,0.075,0.375,0.4,0.15,0.0,0.7,0.2,0.018000000000000002,0.2,0.069,0.069,0.048,0.4,0.273,0.152,0.182,0.121,0.275,1.0,0.525,0.675,0.147,0.275,0.9570000000000001,0.746,0.6679999999999999,0.609,0.9390000000000001,0.501,1.0,0.179,0.248,0.494,0.7190000000000001,0.746,0.073
654,654,2012,England,Hospital,190.0,24,0.126,1.0,0.87,0.087,0.696,0.217,0.0,0.375,0.20800000000000002,0.375,0.042,0.047,0.013999999999999999,0.019,0.0,0.069,0.069,0.05,0.20800000000000002,0.14300000000000002,0.071,0.071,0.071,0.083,0.5,0.33299999999999996,0.375,0.1,0.182,1.0,1.0,1.0,1.0,1.0,0.525,1.0,0.07,0.222,0.7070000000000001,0.8240000000000001,0.818,0.0
655,655,2012,England,Hospital,322.0,42,0.13,0.976,0.7859999999999999,0.048,0.8809999999999999,0.071,0.071,0.31,0.47600000000000003,0.14300000000000002,0.0,0.023,0.7,0.3,0.025,0.07,0.07,0.039,0.14300000000000002,0.094,0.031,0.063,0.063,0.071,0.667,0.231,0.231,0.122,0.23800000000000002,0.794,0.662,0.794,0.8490000000000001,0.8190000000000001,0.5539999999999999,0.794,0.21899999999999997,0.254,0.7929999999999999,1.0,0.687,0.0
656,656,2012,England,Site,344.0,52,0.151,0.9620000000000001,0.902,0.135,0.6920000000000001,0.17300000000000001,0.038,0.34600000000000003,0.40399999999999997,0.212,0.0,0.5,0.2,0.0,0.1,0.065,0.057999999999999996,0.049,0.192,0.313,0.188,0.188,0.125,0.077,0.5,0.096,0.096,0.043,0.184,0.6759999999999999,0.612,0.479,0.9420000000000001,0.804,0.5529999999999999,0.941,0.245,0.452,0.33,0.8370000000000001,0.754,0.02
657,657,2012,England,Site,759.0,163,0.215,0.62,0.7829999999999999,0.10099999999999999,0.6579999999999999,0.24100000000000002,0.08800000000000001,0.42100000000000004,0.34600000000000003,0.132,0.013000000000000001,0.015,0.5,0.5,0.3,0.069,0.064,0.035,0.302,0.444,0.341,0.254,0.31,0.075,0.5,0.243,0.35100000000000003,0.057,0.19399999999999998,0.825,0.8220000000000001,0.7659999999999999,0.758,0.9259999999999999,0.528,0.879,0.353,0.298,0.535,0.843,0.669,0.11199999999999999
658,658,2012,England,Hospital,242.0,50,0.207,0.82,0.932,0.06,0.68,0.26,0.040999999999999995,0.408,0.408,0.122,0.02,0.019,0.8,0.4,0.017,0.065,0.055,0.040999999999999995,0.36,0.47100000000000003,0.324,0.294,0.17600000000000002,0.04,1.0,0.022000000000000002,0.522,0.147,0.14,1.0,0.609,0.545,0.932,1.0,0.465,0.6859999999999999,0.11599999999999999,0.33899999999999997,0.638,0.6940000000000001,0.703,0.0
659,659,2012,England,Hospital,210.0,25,0.11900000000000001,0.84,0.7829999999999999,0.08,0.72,0.2,0.12,0.2,0.4,0.28,0.0,0.015,0.8,0.3,0.02,0.066,0.065,0.04,0.4,0.389,0.33299999999999996,0.055999999999999994,0.111,0.04,1.0,0.44,0.56,0.214,0.22699999999999998,0.79,0.584,0.67,0.8009999999999999,1.0,0.495,0.67,0.11,0.21600000000000003,0.7809999999999999,0.914,0.535,0.0
660,660,2012,England,Hospital,412.0,61,0.14800000000000002,0.8690000000000001,0.8420000000000001,0.052000000000000005,0.655,0.293,0.035,0.24600000000000002,0.509,0.175,0.035,0.017,0.6,0.6,0.7,0.065,0.062,0.044000000000000004,0.281,0.447,0.319,0.191,0.17,0.0,1.0,0.24100000000000002,0.379,0.063,0.13,0.747,0.9209999999999999,0.45799999999999996,0.904,1.0,0.5720000000000001,0.825,0.201,0.10400000000000001,0.428,0.83,0.804,0.017
661,661,2012,England,Hospital,422.0,58,0.13699999999999998,0.81,0.825,0.08900000000000001,0.643,0.268,0.036000000000000004,0.39299999999999996,0.46399999999999997,0.107,0.0,0.016,0.6,0.7,0.9,0.07,0.067,0.039,0.263,0.537,0.278,0.35200000000000004,0.259,0.155,0.556,0.281,0.298,0.095,0.327,0.73,0.53,0.516,0.7809999999999999,0.7959999999999999,0.415,0.764,0.396,0.249,0.429,0.716,0.49200000000000005,0.0
662,662,2012,England,Site,1061.0,143,0.135,0.972,0.735,0.085,0.606,0.31,0.042,0.401,0.373,0.17600000000000002,0.006999999999999999,0.023,0.6,0.3,0.012,0.068,0.065,0.038,0.312,0.255,0.184,0.133,0.092,0.121,0.588,0.207,0.304,0.12300000000000001,0.19899999999999998,0.9179999999999999,0.825,0.789,0.8370000000000001,0.868,0.525,0.934,0.183,0.268,0.562,0.843,0.726,0.013999999999999999
663,663,2012,England,Hospital,495.0,72,0.145,0.958,0.841,0.042,0.718,0.239,0.087,0.319,0.42,0.174,0.0,0.013000000000000001,0.7,0.5,0.1,0.065,0.057999999999999996,0.027000000000000003,0.27899999999999997,0.455,0.255,0.327,0.309,0.057,0.25,0.159,0.188,0.2,0.215,0.833,0.813,0.725,0.7929999999999999,0.883,0.359,0.794,0.182,0.24,0.524,0.852,0.6829999999999999,0.013999999999999999
664,664,2012,England,Hospital,339.0,67,0.198,0.8809999999999999,0.879,0.209,0.5670000000000001,0.22399999999999998,0.149,0.34299999999999997,0.32799999999999996,0.16399999999999998,0.015,0.019,0.8,0.7,0.1,0.068,0.063,0.033,0.364,0.509,0.321,0.28300000000000003,0.302,0.10400000000000001,0.5710000000000001,0.10400000000000001,0.11900000000000001,0.098,0.19399999999999998,0.965,0.91,0.855,0.8490000000000001,0.8220000000000001,0.499,0.775,0.212,0.28600000000000003,0.43200000000000005,0.7440000000000001,0.748,0.0
665,665,2012,England,Hospital,131.0,25,0.191,1.0,0.88,0.042,0.75,0.20800000000000002,0.12,0.28,0.48,0.12,0.0,0.016,0.6,0.6,0.3,0.068,0.068,0.048,0.125,0.389,0.278,0.222,0.222,0.04,1.0,0.0,0.04,0.087,0.087,1.0,1.0,0.513,1.0,0.705,0.209,0.8190000000000001,0.136,0.0,0.84,0.8190000000000001,0.835,0.0
666,666,2012,England,Hospital,741.0,136,0.184,0.75,0.9309999999999999,0.152,0.591,0.258,0.09,0.466,0.21100000000000002,0.233,0.0,0.7,0.5,0.0,0.1,0.068,0.054000000000000006,0.036000000000000004,0.195,0.506,0.26,0.377,0.312,0.11199999999999999,0.462,0.856,0.97,0.071,0.214,0.8370000000000001,0.5760000000000001,0.5770000000000001,0.878,0.797,0.4,0.847,0.225,0.187,0.631,0.87,0.612,0.0
667,667,2012,England,Hospital,355.0,63,0.177,0.794,0.797,0.032,0.841,0.127,0.081,0.452,0.33899999999999997,0.129,0.0,0.6,0.1,0.1,0.1,0.068,0.062,0.037000000000000005,0.368,0.5529999999999999,0.426,0.319,0.447,0.14800000000000002,0.0,0.49200000000000005,0.644,0.094,0.133,0.802,0.72,0.64,0.852,0.5489999999999999,0.621,0.8490000000000001,0.21100000000000002,0.141,0.562,0.7390000000000001,0.775,0.0
668,668,2012,England,Hospital,318.0,56,0.17600000000000002,0.768,0.556,0.0,0.473,0.527,0.109,0.418,0.29100000000000004,0.145,0.036000000000000004,1.0,0.5,0.3,0.2,0.065,0.057999999999999996,0.039,0.245,0.42200000000000004,0.244,0.289,0.244,0.091,0.5,0.873,0.945,0.083,0.204,0.846,0.645,0.605,0.68,0.758,0.35200000000000004,0.7020000000000001,0.099,0.10800000000000001,0.63,0.775,0.43700000000000006,0.255
669,669,2012,England,Hospital,255.0,46,0.18,0.9570000000000001,0.7559999999999999,0.109,0.609,0.28300000000000003,0.111,0.222,0.289,0.35600000000000004,0.022000000000000002,0.033,0.5,0.039,0.4,0.068,0.068,0.042,0.261,0.42100000000000004,0.263,0.184,0.184,0.044000000000000004,0.5,0.35600000000000004,0.489,0.05,0.109,0.698,0.7090000000000001,0.278,0.8109999999999999,0.8220000000000001,0.33799999999999997,0.9,0.244,0.134,0.637,0.958,0.6940000000000001,0.023
670,670,2012,England,Hospital,309.0,41,0.133,0.976,0.897,0.049,0.512,0.439,0.077,0.41,0.385,0.077,0.051,0.034,0.011000000000000001,0.6,0.2,0.07,0.068,0.043,0.25,0.528,0.389,0.25,0.222,0.073,0.5,0.25,0.3,0.14300000000000002,0.21100000000000002,0.7709999999999999,0.63,0.47700000000000004,0.759,0.846,0.434,0.6890000000000001,0.24100000000000002,0.20800000000000002,0.551,0.8390000000000001,0.65,0.024
671,671,2012,England,Site,573.0,82,0.14300000000000002,0.805,0.9129999999999999,0.07400000000000001,0.716,0.21,0.076,0.304,0.46799999999999997,0.127,0.025,0.019,0.7,0.3,0.1,0.066,0.064,0.043,0.35,0.35700000000000004,0.171,0.22899999999999998,0.18600000000000003,0.134,0.455,0.679,0.815,0.10099999999999999,0.3,0.833,0.677,0.635,0.8140000000000001,0.813,0.402,0.866,0.183,0.19399999999999998,0.605,0.727,0.631,0.0
672,672,2012,England,Hospital,453.0,88,0.19399999999999998,0.773,0.872,0.057,0.795,0.14800000000000002,0.068,0.318,0.42,0.193,0.0,0.013000000000000001,0.3,0.8,0.2,0.069,0.065,0.042,0.136,0.38799999999999996,0.22399999999999998,0.313,0.22399999999999998,0.069,0.75,0.069,0.08,0.040999999999999995,0.18600000000000003,0.963,0.826,0.619,0.815,0.9109999999999999,0.54,0.9620000000000001,0.221,0.184,0.39799999999999996,0.81,0.466,0.125
673,673,2012,England,Hospital,141.0,18,0.128,0.833,0.941,0.055999999999999994,0.667,0.278,0.0,0.235,0.47100000000000003,0.294,0.0,0.055,0.027000000000000003,0.4,0.013000000000000001,0.069,0.069,0.04,0.444,0.308,0.231,0.154,0.154,0.055999999999999994,1.0,0.111,0.111,0.111,0.111,1.0,1.0,1.0,0.738,0.905,0.507,1.0,0.0,0.0,1.0,1.0,0.7490000000000001,0.0
674,674,2012,England,Hospital,546.0,100,0.183,0.98,0.8959999999999999,0.071,0.667,0.263,0.063,0.158,0.505,0.27399999999999997,0.0,0.5,0.3,0.1,0.3,0.067,0.066,0.052000000000000005,0.2,0.34299999999999997,0.22899999999999998,0.171,0.129,0.05,0.4,0.19399999999999998,0.214,0.044000000000000004,0.175,0.903,0.759,0.8640000000000001,0.715,0.903,0.434,0.8809999999999999,0.145,0.10099999999999999,0.49700000000000005,0.8240000000000001,0.77,0.01
675,675,2012,England,Hospital,360.0,52,0.14400000000000002,0.981,0.94,0.077,0.5770000000000001,0.34600000000000003,0.02,0.294,0.431,0.235,0.02,1.0,0.3,0.1,0.1,0.069,0.052000000000000005,0.028999999999999998,0.49,0.55,0.35,0.4,0.4,0.02,0.0,0.078,0.078,0.05,0.24,1.0,0.883,0.865,0.925,1.0,0.735,0.95,0.249,0.293,0.7390000000000001,0.9520000000000001,0.643,0.019
676,676,2012,England,Hospital,49.0,5,0.102,1.0,0.0,0.0,1.0,0.0,0.0,0.33299999999999996,0.0,0.667,0.0,0.165,0.0,0.0,0.0,0.062,0.06,0.05,0.0,0.5,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6509999999999999,1.0,0.0,0.0,0.0,0.494,0.647,0.0
677,677,2012,England,Hospital,349.0,53,0.152,0.9059999999999999,0.889,0.125,0.563,0.313,0.057999999999999996,0.40399999999999997,0.34600000000000003,0.17300000000000001,0.019,0.018000000000000002,0.9,0.8,0.3,0.07,0.069,0.043,0.327,0.33299999999999996,0.128,0.256,0.205,0.17300000000000001,0.889,0.75,0.9229999999999999,0.11800000000000001,0.16,0.8440000000000001,0.835,0.716,0.774,0.943,0.644,0.956,0.228,0.092,0.847,0.865,0.7909999999999999,0.0
678,678,2012,England,Hospital,46.0,14,0.304,1.0,0.667,0.071,0.7859999999999999,0.14300000000000002,0.0,0.14300000000000002,0.5710000000000001,0.28600000000000003,0.0,0.028999999999999998,0.013000000000000001,0.1,0.6,0.063,0.06,0.051,0.28600000000000003,0.222,0.222,0.0,0.111,0.214,0.667,0.214,0.28600000000000003,0.0,0.14300000000000002,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
679,679,2012,England,Hospital,444.0,80,0.18,0.988,0.84,0.113,0.65,0.23800000000000002,0.091,0.299,0.429,0.182,0.0,0.025,0.4,0.2,0.3,0.065,0.062,0.04,0.354,0.254,0.159,0.14300000000000002,0.14300000000000002,0.15,0.667,0.37200000000000005,0.385,0.115,0.316,0.782,0.698,0.677,0.784,0.882,0.5479999999999999,0.9229999999999999,0.177,0.10400000000000001,0.693,0.851,0.6779999999999999,0.013000000000000001
680,680,2012,England,Hospital,329.0,47,0.14300000000000002,0.83,0.878,0.067,0.4,0.5329999999999999,0.043,0.239,0.5,0.196,0.022000000000000002,0.018000000000000002,0.6,0.8,0.7,0.064,0.064,0.047,0.348,0.389,0.222,0.25,0.139,0.087,0.75,0.935,0.935,0.10800000000000001,0.122,0.862,0.696,0.6609999999999999,0.8590000000000001,1.0,0.423,0.823,0.11199999999999999,0.344,0.528,0.9329999999999999,0.7509999999999999,0.0
681,681,2012,England,Hospital,259.0,27,0.10400000000000001,0.889,0.9470000000000001,0.077,0.6920000000000001,0.231,0.077,0.115,0.654,0.154,0.0,0.044000000000000004,1.0,0.013999999999999999,1.0,0.066,0.059000000000000004,0.035,0.185,0.231,0.0,0.231,0.077,0.0,0.0455,0.0,0.0,0.0,0.0,1.0,0.645,0.645,0.659,1.0,0.32799999999999996,0.853,0.20800000000000002,0.20800000000000002,0.32799999999999996,1.0,0.853,0.0
682,682,2012,England,Hospital,592.0,63,0.106,0.841,0.586,0.19,0.5870000000000001,0.222,0.09699999999999999,0.387,0.355,0.113,0.048,0.011000000000000001,0.4,0.6,0.011000000000000001,0.068,0.061,0.027999999999999997,0.281,0.489,0.319,0.27699999999999997,0.36200000000000004,0.23800000000000002,0.917,0.20600000000000002,0.20600000000000002,0.061,0.26,0.871,0.976,0.731,0.855,0.924,0.561,0.905,0.254,0.43200000000000005,0.721,0.917,0.768,0.081
683,683,2012,England,Hospital,706.0,52,0.07400000000000001,0.865,0.8809999999999999,0.078,0.627,0.294,0.157,0.373,0.294,0.157,0.02,0.032,0.013999999999999999,0.8,0.0,0.063,0.063,0.03,0.551,0.5710000000000001,0.452,0.33299999999999996,0.381,0.02,0.0,0.11800000000000001,0.33299999999999996,0.133,0.196,0.961,0.716,0.862,0.841,0.6779999999999999,0.581,0.782,0.134,0.271,0.47100000000000003,0.799,0.727,0.0
