,bed,no_of_audits,prevalence_diabetes,percentage_white,percentage_emergency,percentage_mangement,percentage_other_medical,percentage_non_medical,dt1,dt2_insulin,dt2_non_insulin,dt2_diet_only,dt_other,nursing_hours,consultant_hours,dietician_hours,podiatrist_hours,blood_glucose_monitoring_days,appropriate_days,good_diabetes_days,visit_by_specialist_diabetes_team,medication_errors,prescription_errors,management_errors,insulin_errors,admitted_with_foot disease,seen_by_mdft_within_24_hours,foot_risk_assessment_within_24_hours,foot_risk_assessment_within_stay,severe_hypo,minor_hypo,meals_suitable,meals_timing,meals_choice,staff_knowledge_q&a,staff_knowledge_eq,staff_knowledge_collective,overall_satisfaction,patient_reported _unexpected_high,patient_reported_unexpected_low,able_to_take_control_of_care,staff_aware_diabetes,some_or_most_staff_aware_diabetes,renal_replacement
63,852.0,120.0,0.14,0.99,0.86,0.09,0.66,0.26,0.09,0.24,0.44,0.22,0.01,0.62,0.5,0.5052752656552437,1.3,6.81,6.5,3.37,0.21899999999999997,0.364,0.22699999999999998,0.23600000000000002,0.145,0.11,0.25,0.23800000000000002,0.42100000000000004,0.175,0.308,0.9229999999999999,0.7829999999999999,0.667,0.41700000000000004,0.833,0.34600000000000003,0.833,0.2,0.4,0.565,0.9620000000000001,0.615,0.033
64,832.0,97.0,0.12,0.92,0.76,0.02,0.64,0.34,0.06,0.29,0.37,0.22,0.06,0.85,0.07,0.45835368688457495,0.05,6.78,6.21,4.43,0.22899999999999998,0.402,0.354,0.183,0.244,0.087,0.5,0.105,0.168,0.07200000000000001,0.165,0.8590000000000001,0.8590000000000001,0.7390000000000001,0.711,0.848,0.5429999999999999,0.8859999999999999,0.3,0.243,0.721,0.861,0.8029999999999999,0.011000000000000001
65,575.0,74.0,0.13,0.93,0.65,0.07,0.7,0.23,0.06,0.35,0.45,0.13,0.01,1.26,0.03,0.05903876130223051,0.32,6.73,6.22,3.47,0.735,0.32899999999999996,0.114,0.22899999999999998,0.2,0.059000000000000004,0.25,0.7829999999999999,0.161,0.122,0.243,0.9620000000000001,0.731,0.76,0.583,0.941,0.5,0.9640000000000001,0.28,0.28,0.583,0.9620000000000001,0.76,0.125
66,234.0,38.0,0.16,0.97,1.0,0.05,0.92,0.03,0.05,0.34,0.4,0.21,0.0,0.16,0.53,0.08,0.11,5.72,5.3,3.12,0.37799999999999995,0.158,0.105,0.132,0.105,0.057,1.0,0.14300000000000002,0.23600000000000002,0.105,0.289,0.909,0.8,0.727,0.6,1.0,0.273,0.727,0.182,0.455,0.889,1.0,0.7,0.0
67,401.0,64.0,0.16,1.0,0.89,0.08,0.73,0.19,0.02,0.31,0.31,0.36,0.0,0.42,0.2952925347989948,0.3715747971821221,0.08,7.0,6.39,5.08,0.14300000000000002,0.233,0.15,0.133,0.16699999999999998,0.098,0.75,0.059000000000000004,0.5,0.109,0.21899999999999997,0.853,0.6559999999999999,0.594,0.478,0.857,0.441,0.8240000000000001,0.212,0.273,0.767,0.879,0.706,0.016
68,287.0,41.0,0.14,0.98,0.89,0.1,0.73,0.18,0.07,0.17,0.51,0.24,0.0,0.66,0.29,0.1,0.2698372710019691,6.71,6.67,4.84,0.951,0.073,0.024,0.073,0.049,0.111,0.75,0.575,0.273,0.122,0.171,0.9690000000000001,0.688,0.8440000000000001,0.588,0.9129999999999999,0.636,0.9390000000000001,0.265,0.147,0.828,0.853,0.794,0.0
69,479.0,81.0,0.17,0.96,0.87,0.18,0.56,0.27,0.05,0.27,0.48,0.2,0.0,0.56,0.14,0.07,0.23,6.94,6.7,4.17,0.278,0.29600000000000004,0.113,0.225,0.141,0.209,0.6920000000000001,0.156,0.397,0.136,0.136,0.813,0.8370000000000001,0.809,0.462,0.794,0.354,0.84,0.3,0.16,0.745,0.885,0.615,0.0
70,362.0,41.0,0.11,0.95,0.85,0.05,0.68,0.27,0.0,0.2,0.42,0.39,0.0,0.9,0.15,0.15,0.5982968264914166,5.98,5.4,3.64,0.282,0.237,0.105,0.158,0.184,0.053,0.5,0.053,0.23800000000000002,0.024,0.122,1.0,0.882,0.9440000000000001,0.636,0.941,0.273,0.955,0.25,0.2,0.833,1.0,0.833,0.0
71,361.0,57.0,0.16,0.94,0.93,0.07,0.7,0.23,0.04,0.31,0.55,0.11,0.0,0.35,0.14,0.14,0.05,6.82,6.14,3.6,0.182,0.532,0.40399999999999997,0.23399999999999999,0.298,0.040999999999999995,0.0,0.14800000000000002,0.31,0.12300000000000001,0.298,0.88,0.818,0.652,0.43799999999999994,0.941,0.583,0.833,0.385,0.192,0.42100000000000004,0.917,0.654,0.0
72,663.0,77.0,0.12,0.93,0.91,0.16,0.66,0.18,0.05,0.36,0.38,0.2,0.01,1.23,0.21,0.09,0.06,6.5,6.16,5.24,0.506,0.23399999999999999,0.203,0.078,0.156,0.161,0.889,0.262,0.24100000000000002,0.078,0.13,0.8140000000000001,0.655,0.519,0.486,0.9059999999999999,0.424,0.8640000000000001,0.18600000000000003,0.271,0.647,0.7170000000000001,0.627,0.053
