,audit_year,Country,Hospital/Site,Hospital Beds (HC),Diabetic Patients (BA),Prevalence of diabetes,Percentage White,Percentage emergency,Percentage Mangement of diabetes,Percentage other medical,Percentage Non Medical,Percentage Diabetes Type 1,Percentage Diabetes Type 2 - Insulin,Percentage Diabetes Type 2 - Non insulin,Percentage Diabetes Type 2 - Diet only,Percentage Diabetes Type Other,Nursing hours,Consultant hours,Dietician hours,Podiatrist hours, Blood Glucose monitoring Days , Appropriate Days , Good Diabetes Days ,Visit by specialist diabetes team,Medication errors,prescription errors,management errors,Insulin Errors,Admitted with foot disease,Seen by the MDT within 24 hours,Foot Risk Assessment completed within 24 hours,Foot Risk Assessment completed during the hospital stay,% Severe Hypo,% Minor Hypo,Meals Suitable,Meals Timing,Meals Choice,Staff Knowledge - Answer Qs,Staff Knowledge - Emotional support,Staff Knowledge - Work together,Overall Satisfaction,Patient reported unexpected high,Patient reported unexpected low,Able to take control of diabetes care,Staff aware of diabetes,some all or most staff know enough about diabetes,Percentage renal replacement therapy
590,2012,England,Hospital,112.0,14,0.125,0.929,0.615,0.071,0.857,0.071,0.14300000000000002,0.214,0.5,0.14300000000000002,0.0,5.4,1.2,2.6,0.0,6.8,6.8,5.8,0.28600000000000003,0.0,0.0,0.0,0.0,0.071,1.0,0.5,0.5,0.111,0.154,0.894,0.768,0.7929999999999999,0.507,1.0,0.165,0.919,0.094,0.27899999999999997,0.408,0.534,0.29600000000000004,0.0
591,2012,England,Hospital,229.0,37,0.162,0.514,1.0,0.0,0.9440000000000001,0.055999999999999994,0.0,0.35100000000000003,0.486,0.162,0.0,2.9,1.0,0.9,1.5,7.0,6.8,3.9,0.324,0.25,0.125,0.156,0.063,0.10800000000000001,0.5,0.324,0.324,0.1,0.294,0.8959999999999999,0.8370000000000001,0.7659999999999999,0.753,0.9640000000000001,0.8079999999999999,0.966,0.121,0.228,0.715,0.941,0.5329999999999999,0.0
592,2012,England,Hospital,624.0,73,0.11699999999999999,0.7809999999999999,0.861,0.083,0.722,0.19399999999999998,0.028999999999999998,0.4,0.371,0.18600000000000003,0.013999999999999999,2.6,2.1,0.3,0.6,6.8,6.2,3.9,0.708,0.51,0.38799999999999996,0.28600000000000003,0.327,0.09699999999999999,0.4,0.239,0.31,0.149,0.121,0.738,0.648,0.55,0.7070000000000001,0.636,0.163,0.838,0.423,0.28800000000000003,0.591,0.596,0.502,0.042
593,2012,England,Hospital,717.0,113,0.158,0.956,0.925,0.027000000000000003,0.735,0.239,0.063,0.321,0.384,0.205,0.027000000000000003,1.5,0.6,0.1,0.5,6.7,6.5,4.4,0.18600000000000003,0.382,0.247,0.23600000000000002,0.20199999999999999,0.08199999999999999,0.444,0.573,0.609,0.07200000000000001,0.284,0.8490000000000001,0.698,0.517,0.8170000000000001,0.9440000000000001,0.365,0.861,0.2,0.222,0.43799999999999994,0.726,0.6990000000000001,0.044000000000000004
594,2012,England,Hospital,181.0,25,0.138,0.92,0.84,0.042,0.708,0.25,0.08,0.36,0.28,0.24,0.04,1.8,1.9,1.0,0.9,6.9,6.9,5.5,0.20800000000000002,0.267,0.2,0.067,0.133,0.042,1.0,0.0,0.0,0.0,0.105,0.902,0.8859999999999999,0.8859999999999999,1.0,1.0,0.68,0.897,0.18600000000000003,0.092,0.912,0.897,0.89,0.04
595,2012,England,Hospital,265.0,44,0.166,0.8859999999999999,0.889,0.048,0.81,0.14300000000000002,0.07,0.209,0.5579999999999999,0.163,0.0,1.3,0.5,0.4,0.0,6.9,6.5,3.9,0.256,0.452,0.355,0.161,0.258,0.0,,0.317,0.341,0.054000000000000006,0.233,0.904,0.7190000000000001,0.675,0.831,0.925,0.466,0.9059999999999999,0.134,0.079,0.49,0.958,0.8009999999999999,0.0
596,2012,England,Hospital,879.0,127,0.14400000000000002,0.961,0.8640000000000001,0.135,0.611,0.254,0.048,0.4,0.368,0.152,0.032,2.1,0.9,0.3,0.8,6.9,6.8,3.8,0.23800000000000002,0.456,0.252,0.311,0.252,0.11199999999999999,0.429,0.33299999999999996,0.39,0.132,0.282,0.885,0.701,0.8270000000000001,0.875,0.937,0.46,0.9,0.252,0.303,0.514,0.95,0.6970000000000001,0.039
597,2012,England,Hospital,674.0,85,0.126,0.882,0.8270000000000001,0.073,0.659,0.268,0.024,0.446,0.24100000000000002,0.16899999999999998,0.12,2.7,1.5,0.4,0.4,6.8,6.4,3.8,0.386,0.413,0.254,0.254,0.222,0.145,0.125,0.154,0.179,0.098,0.266,0.912,0.7909999999999999,0.711,0.846,0.774,0.431,0.862,0.187,0.134,0.617,0.882,0.836,0.024
598,2012,England,Hospital,626.0,89,0.142,0.8540000000000001,0.6779999999999999,0.067,0.629,0.303,0.079,0.39299999999999996,0.36,0.124,0.045,3.0,0.3,1.2,0.8,6.8,6.7,4.2,0.75,0.24,0.133,0.133,0.12,0.114,0.7,0.809,0.8759999999999999,0.069,0.14800000000000002,0.795,0.753,0.7340000000000001,0.941,0.812,0.496,0.879,0.20600000000000002,0.11900000000000001,0.67,0.816,0.7829999999999999,0.11199999999999999
599,2012,England,Hospital,450.0,65,0.14400000000000002,0.785,0.883,0.154,0.508,0.33799999999999997,0.08199999999999999,0.27899999999999997,0.39299999999999996,0.213,0.033,1.1,0.4,0.2,0.4,7.0,6.8,4.4,0.21899999999999997,0.27899999999999997,0.14,0.27899999999999997,0.209,0.109,0.4,0.45899999999999996,0.525,0.08900000000000001,0.15,0.871,0.6890000000000001,0.527,0.797,0.9159999999999999,0.47700000000000004,0.9420000000000001,0.17300000000000001,0.157,0.622,0.738,0.828,0.015
600,2012,England,Hospital,257.0,40,0.156,0.9,0.857,0.15,0.725,0.125,0.05,0.3,0.525,0.125,0.0,1.2,0.7,0.2,0.2,6.9,6.8,4.6,0.872,0.111,0.07400000000000001,0.037000000000000005,0.07400000000000001,0.15,1.0,0.525,0.65,0.121,0.27,1.0,0.862,0.823,0.68,1.0,0.49700000000000005,0.8009999999999999,0.16,0.204,0.599,0.847,0.7020000000000001,0.0
601,2012,England,Hospital,442.0,59,0.133,0.983,0.9640000000000001,0.11900000000000001,0.475,0.40700000000000003,0.071,0.33899999999999997,0.39299999999999996,0.196,0.0,2.7,0.7,0.6,0.6,6.9,6.7,3.9,0.322,0.3,0.15,0.175,0.1,0.11900000000000001,0.857,0.16899999999999998,0.203,0.15,0.161,0.7659999999999999,0.8370000000000001,0.631,0.858,0.91,0.508,0.897,0.226,0.24,0.44,0.7959999999999999,0.7240000000000001,0.153
602,2012,England,Hospital,299.0,42,0.14,0.976,0.838,0.049,0.732,0.22,0.049,0.341,0.293,0.317,0.0,4.2,1.2,0.6,0.3,6.5,5.7,2.5,0.244,0.36,0.04,0.36,0.16,0.073,1.0,0.049,0.049,0.067,0.095,0.8809999999999999,0.606,0.835,0.779,0.85,0.5,0.773,0.154,0.196,0.617,0.764,0.612,0.0
603,2012,England,Hospital,378.0,60,0.159,0.8170000000000001,0.831,0.05,0.65,0.3,0.055,0.327,0.5820000000000001,0.036000000000000004,0.0,1.3,1.1,0.2,0.7,6.9,6.4,4.1,0.25,0.264,0.20800000000000002,0.113,0.094,0.15,0.5,0.424,0.45799999999999996,0.077,0.276,0.774,0.669,0.638,0.889,0.85,0.42100000000000004,0.831,0.14800000000000002,0.124,0.506,0.889,0.78,0.033
604,2012,England,Hospital,579.0,114,0.19699999999999998,0.9390000000000001,0.894,0.134,0.67,0.196,0.134,0.33,0.348,0.161,0.027000000000000003,2.2,1.0,0.9,0.3,6.9,6.8,4.8,0.46,0.253,0.184,0.115,0.138,0.14300000000000002,0.938,0.893,0.922,0.12,0.17600000000000002,0.883,0.721,0.562,0.737,0.8690000000000001,0.539,0.883,0.244,0.233,0.551,0.9259999999999999,0.826,0.044000000000000004
605,2012,England,Hospital,240.0,73,0.304,0.43799999999999994,0.873,0.083,0.6940000000000001,0.222,0.027999999999999997,0.431,0.40299999999999997,0.139,0.0,0.9,1.1,0.5,0.1,6.6,6.3,3.4,0.589,0.45799999999999996,0.237,0.271,0.16899999999999998,0.085,0.4,0.113,0.408,0.122,0.23,0.807,0.6779999999999999,0.424,0.745,0.688,0.354,0.823,0.29100000000000004,0.276,0.461,0.586,0.45,0.0
606,2012,England,Hospital,481.0,90,0.187,0.511,0.9329999999999999,0.067,0.6,0.33299999999999996,0.022000000000000002,0.6,0.344,0.033,0.0,0.7,0.6,0.0,0.1,6.9,5.9,2.6,0.33299999999999996,0.575,0.313,0.5,0.363,0.124,0.455,0.172,0.276,0.133,0.2,0.626,0.504,0.46399999999999997,0.968,0.754,0.32899999999999996,0.8640000000000001,0.38,0.11900000000000001,0.601,0.7979999999999999,0.507,0.111
607,2012,England,Hospital,99.0,15,0.152,0.667,0.133,0.0,0.733,0.267,0.0,0.133,0.5329999999999999,0.133,0.2,0.7,0.0,0.0,0.0,7.0,7.0,5.6,0.133,0.75,0.41700000000000004,0.5,0.41700000000000004,0.0,,0.0,0.0,0.0,0.067,0.83,0.797,0.9129999999999999,0.727,0.862,0.599,1.0,0.17,0.257,0.659,0.9059999999999999,0.5539999999999999,0.0
608,2012,England,Hospital,220.0,20,0.091,0.5,0.368,0.0,0.65,0.35,0.0,0.8420000000000001,0.158,0.0,0.0,1.0,0.7,0.0,0.0,6.7,5.7,3.6,0.1,0.579,0.21100000000000002,0.579,0.368,0.0,,0.15,0.2,0.16699999999999998,0.0,0.765,0.7759999999999999,0.615,0.9390000000000001,0.6609999999999999,0.42200000000000004,0.925,0.522,0.29100000000000004,0.732,0.821,0.547,0.1
